Platform Action,jhower_category,enava_category,jhower_enava_match,Suggested Category
Accepted User Connection,Connect,Uncategorized,0,Connect
Account Created,Uncategorized,Uncategorized,1,
Added Champion Analytics Widget,Other actions,Other actions,1,
Added Champion Assessment Analytics Widget,Other actions,Other actions,1,
Added Champion Cohort Overview Widget,Other actions,Other actions,1,
Added Champion Program Analytics Widget,Other actions,Other actions,1,
Added Collection to Queue,Uncategorized,Uncategorized,1,
Added Moment to Queue,Uncategorized,Uncategorized,1,
Added To-Do Item from Content,To-do,To-do,1,
Added Tree to Queue,Uncategorized,Uncategorized,1,
Added User Program Progress Widget,Other actions,Other actions,1,
Added User Space Widget,Other actions,Other actions,1,
Answered Assessment Item,Consume,Consume,1,
Assigned To-Do Item,To-do,To-do,1,
Became Champion Member,Other actions,Other actions,1,
Became Organization Member,Other actions,Uncategorized,0,Other actions
Champion Membership Invitation Accepted,Other actions,Other actions,1,
Champion Membership Invitation Declined,Other actions,Other actions,1,
Clicked Button on Page,Other actions,Consume & Other,0,Consume
Clicked Collection Card on Page,Uncategorized,Consume,0,Consume
Clicked External Link Card on Page,Uncategorized,Consume,0,Consume
Clicked Moment Card on Page,Uncategorized,Consume,0,Consume
Clicked Page Card on Page,Uncategorized,Consume,0,Consume
Clicked Program Card on Page,Uncategorized,Consume,0,Consume
Clicked Social Icon on Page,Other actions,Consume & Other,0,Consume
Cloned Program,Uncategorized,Uncategorized,1,
Commented on Group Space Post,Space,Space,1,
Commented on Private Space Post,Space,Space,1,
Commented on Shared Space Post,Space,Space,1,
Commented on Timeline Post,Feed,Feed,1,
Commented on Unactivated Space Post,Space,Uncategorized,0,Space
Completed To-Do Item,To-do,To-do,1,
Connected to Champion,Connect,Connect,1,
Created AddToQueueElement Element,Uncategorized,Uncategorized,1,
Created AssessmentMetricPrerequisite Prerequisite,Uncategorized,Uncategorized,1,
Created AssessmentResultPrerequisite Prerequisite,Uncategorized,Uncategorized,1,
Created BlockquoteElement Element,Uncategorized,Uncategorized,1,
Created ChampionConnectElement Element,Uncategorized,Uncategorized,1,
